Article Unique Id,Satire Flag,Full Text,,,,,,,,WPS,pronoun,ppron,ipron,prep,verb,conj,adverb,adj,negemo,Period,Comma,Colon,SemiC,QMark,Exclam,Quote,Absurd,Humor

34,0,"As complaints grow about exorbitant drug prices, pharmaceutical companies are coming under pressure to disclose the development costs and profits of those medicines and the rationale for charging what they do.

So-called pharmaceutical cost transparency bills have been introduced in at least six state legislatures in the last year, aiming to make drug companies justify their prices, which are often attributed to high research and development costs.

...If a prescription drug demands an outrageous price tag, the public, insurers and federal, state and local governments should have access to the information that supposedly justifies the cost,.. says the preamble of a bill introduced in the New York State Senate in May.

U.S. Shifts Stance on Drug Pricing in Pacific Trade Pact Talks, Document RevealsJUNE 10, 2015
The New Health Care: With Sickest Patients, Cost Sharing Comes at a PriceMAY 4, 2015
In an article being published Thursday, more than 100 prominent oncologists called for support of a grass-roots movement to stem the rapid increases of prices of cancer drugs, including by letting Medicare negotiate prices with pharmaceutical companies and letting patients import less expensive medicines from Canada.

...There is no relief in sight because drug companies keep challenging the market with even higher prices,.. the doctors wrote in the journal Mayo Clinic Proceedings. ...This raises the question of whether current pricing of cancer drugs is based on reasonable expectation of return on investment or whether it is based on what prices the market can bear...

Pressure is mounting from elsewhere as well. The top Republican and Democrat on the United States Senate Finance Committee last year demanded detailed cost data from Gilead Sciences, whose hepatitis C drugs, which cost $1,000 a pill or more, have strained the budgets of state and federal health programs. The U.A.W. Retiree Medical Benefits Trust tried to make Gilead, Vertex Pharmaceuticals, Celgene and other companies report to their shareholders more about how they set prices and the risks to their businesses from resistance to high drug prices.

The trust cited the more than $300,000 per year price of Vertex..È cystic fibrosis drug Kalydeco and roughly $150,000 for Celgene..È cancer drug Revlimid.

Even former President Bill Clinton, in a speech to pharmaceutical executives in Philadelphia last month, said it would be in the industry..È best interest to say more about its costs and pricing.

...Explain, explain, explain and disclose, disclose, disclose,.. Mr. Clinton said, according to The Philadelphia Inquirer. ...Don..È expect everybody to love you, but at least they will hear your side of the story...

The pharmaceutical industry has already had the veil lifted on various practices. Drug companies now have to report the payments, including meals and entertainment, that they make to doctors for research, consulting and giving promotional speeches. The companies have also had to disclose more results of their clinical trials and in some cases have started to provide raw data to outsiders.

It is unclear if cost and pricing will become the next such area. The state bills, which are supported by some health insurers and consumer groups, have not progressed. The two senators, Republican Charles E. Grassley of Iowa and Democrat Ron Wyden of Oregon, have not reported the results of their inquiry. And shareholders of Gilead, Vertex and Celgene voted down the resolutions proposed by the U.A.W. trust, though the trust says it reached settlements with Eli Lilly and with two other drug companies it would not identify.

The pharmaceutical and biotechnology industry trade groups say the transparency bills would be costly to comply with and would provide misleading information.

Even some people concerned about drug prices say that the cost to develop a particular drug has little to do with that drug..È price and that knowing such information will not keep prices down.

...The past R&D cost is really kind of a red herring,.. said Len Nichols, a health care economist at George Mason University, referring to research and development. ...The current revenue doesn..È pay for past R&D; it pays for current R&D...

Prices for cancer drugs, some of which extend lives by only a couple of months, routinely exceed $100,000 a year, and some new ones exceed $150,000. And it is not unusual for the list prices of existing drugs to rise 10 percent or more year after year, far beyond the rate of inflation. The prices of older drugs for multiple sclerosis have risen from about $10,000 per year in the late 1990s to more than $60,000 now, according to a study, even as competition in the market has intensified with the introduction of new products.

Cost transparency bills have also been introduced in California, Massachusetts, North Carolina, Oregon and Pennsylvania.

Three of the bills require disclosures for drugs costing $10,000 or more per year. The others have different criteria. Besides development costs, some of the bills would require disclosure of the costs of manufacturing, marketing and advertising. At least some of the bills also ask for a history of price increases, the profit attributable to the drug and how much a company spends in providing financial assistance to patients using the drug.

Two of the bills would allow the states to act on the information, not just require disclosure. Pennsylvania..È would allow insurers to refuse to pay for a drug if the manufacturer did not file the required report. In Massachusetts, a state commission would be able to set a maximum price for a drug if it determined that the price set by the manufacturer was significantly high compared with the benefits, costs or prices in other countries.

Most of the bills have not been acted upon, though hearings were held in California and Oregon.

The sponsor of the California bill, Assemblyman David Chiu, pulled it back shortly before a committee was to vote on it, apparently because it did not have sufficient support. The bill could be picked up again next year.

...This is a new topic for many of my colleagues to grapple with,.. said Mr. Chiu, a Democrat from San Francisco. He said the bill was necessary because ...greater transparency leads to better policy results...

Mitch Greenlick, a Democrat from Portland who is chairman of the Health Care Committee in Oregon..È House of Representatives, said the bill was prepared with input from the health insurance industry, but was ...not ready for prime time... He added that the issue would be further studied.

...What are we going to do with that information?.. he said. ...It..È interesting to have, I suppose, but the drug companies are shameless, and they charge what they can get away with...

Insurers and consumer groups told the Oregon Legislature that more disclosure was needed because the state had to decide whether to pay for certain drugs. Representatives of the pharmaceutical industry said the bill was unfair and would discourage industry investment in Oregon.

Lori Reilly, executive vice president for policy and research at the Pharmaceutical Research and Manufacturers of America, the industry..È main trade group, said it was misleading to look only at the cost of developing a particular drug because that ignored the money spent on the drugs that fail during development. Only about 12 percent of drugs tested in people reach the market, she said.

Ms. Reilly said that publicly traded drug companies already disclosed their overall research and development costs, as well as other financial information. She also said that focusing on costs ignored the value of the drugs. Some drugs, for instance, can save money for the health system over all by keeping people out of the hospital, she said.

Pharmaceutical executives do not typically tie the price of any particular drug to its development cost. But they do say that their sales have to recoup their investment in research and development if the companies are to stay in business.

They often cite the Tufts Center for the Study of Drug Development at Tufts University, which last year said companies spent an average of $2.6 billion to bring a drug to market, up from an estimate of $800 million in 2003. That includes the cost of failures. And almost half the figure is opportunity cost, the amount a company might have earned if it had invested money elsewhere rather than spending it on drug development.

Critics are skeptical of that figure, saying that the Tufts center gets funding from the pharmaceutical industry and uses data supplied by the drug companies, but does not disclose which drugs are used as the basis of the estimates.

Pharmaceutical executives often say they price the drugs based on the value they provide, though often a detailed explanation of that is not provided. In many cases, it appears, the price of new drugs is set in comparison to rival drugs already on the market, and usually a bit higher. Companies then can raise their prices for the older drugs.

...We all look at each other and keep pace with each other,.. said a director of one multiple sclerosis drug developer, who spoke on the condition of anonymity. ...Honestly, there is no science to it...

CONTINUE READING THE MAIN STORY
401
COMMENTS
John Rother, chief executive of the National Coalition on Health Care, a group of insurers, consumer organizations, labor unions and employers concerned about drug prices, said his group hoped to introduce transparency legislation in Congress, but aimed at determining how drug companies estimate the value of their drugs, not the research and development costs.

...The industry has used R&D costs for the justification, but anyone who is reasonably sophisticated understands those are sunk costs and have little to do with pricing,.. Mr. Rother said. ...The more important information is any calculation of value. If the drug actually cures people, then what costs in health care are you saving?..

Dr. Jerry Avorn, a professor at Harvard Medical School and critic of some drug company practices, said the industry ...has brought this on itself by charging prices that are so astonishing, it makes citizens wonder, ...Where did this figure come from?..È..",,,,,,,,23.62,6.32,2.15,4.17,14.85,12.05,5.61,3.28,3.94,0.83,4.71,6.5,0.06,0.06,0.18,0,2.09,1,0

35,0,"After decades of worsening diets and sharp increases in obesity, Americans..Èeating habits have begun changing for the better.
Calories consumed daily by the typical American adult, which peaked
around 2003, are in the midst of their first sustained decline since federal
statistics began to track the subject, more than 40 years ago. The number of
calories that the average American child takes in daily has fallen even more ...
by at least 9 percent.
The declines cut across most major demographic groups ... including
higher- and lower-income families, and blacks and whites ... though they vary
somewhat by group.
In the most striking shift, the amount of full-calorie soda drunk by the
average American has dropped 25 percent since the late 1990s.
As calorie consumption has declined, obesity rates appear to have stopped
rising for adults and school-aged children and have come down for the
youngest children, suggesting the calorie reductions are making a difference.
The reversal appears to stem from people..È growing realization that they
were harming their health by eating and drinking too much. The awareness
began to build in the late 1990s, thanks to a burst of scientific research about
the costs of obesity, and to public health campaigns in recent years.
The encouraging data does not mean an end to the obesity epidemic:
More than a third of American adults are still considered obese, putting them
at increased risk of diabetes, heart disease and cancer. Americans are still
eating far too few fruits and vegetables and far too much junk food, even if
they are eating somewhat less of it, experts say.
But the changes in eating habits suggest that what once seemed an
inexorable decline in health may finally be changing course. Since the mid-
1970s, when American eating habits began to rapidly change, calorie
consumption had been on a near-steady incline.
...I think people are hearing the message, and diet is slowly improving,..
said Dr. Dariush Mozaffarian, the dean of the Friedman School of Nutrition
Science and Policy at Tufts University.
Barry Popkin, a University of North Carolina professor who has studied
food data extensively, described the development as a ...turning point.
There is no perfect way to measure American calorie consumption. But
three large sources of data about diet all point in the same direction. Detailed
daily food diaries tracked by government researchers, data from food bar
codes and estimates of food production all show reductions in the calories
consumed by the average American since the early 2000s. Those signals, along
with the flattening of the national obesity rate, have convinced many public
health researchers that the changes are meaningful.
The eating changes have been the most substantial in households with
children. Becky Lopes-Filho..È 4-year-old son, Sebastian, has always been at
the top of the growth chart for weight. Ms. Lopes-Filho, 35, is the operations
manager of a pizzeria in Cambridge, Mass., and her son, like her, loves food.
As he has gotten older, she has grown more concerned about his cravings for
sweets. Instead of a cookie every day now, she said, she has been trying to limit
him to one a week. ...If he was given access, he would just go nuts,.. she said.
...He, I think, would tend to be a super obese kid...
There is no single moment when American attitudes toward eating
changed, but researchers point to a 1999 study as a breakthrough. That year,
researchers from the Centers for Disease Control and Prevention published a
paper in The Journal of the American Medical Association that turned into
something of a blockbuster.
The paper included bright blue maps illustrating worsening obesity rates
in the 1980s and 1990s in all 50 states. Researchers knew the obesity rate was
rising, but Dr. Ali Mokdad, the paper..È lead author, said that when he
presented the maps at conferences, even the experts were gasping. A year
later, he published another paper, with a similar set of maps, showing a related
explosion in diabetes diagnoses. ...People became more aware of it in a very
visual and impactful way,.. said Hank Cardello, a former food industry
executive who is now a senior fellow at the Hudson Institute, a conservative
policy center. ...That created a lot of attention and concern...
Shortly afterward, the surgeon general, Dr. David Satcher, issued a report
... ...Call to Action to Prevent and Decrease Overweight and Obesity.. ...
modeled on the famous 1964 surgeon general..È report on tobacco. The 2001
report summarized the increasing evidence that obesity was a risk factor for
several chronic diseases, and said controlling children..È weight should be a
priority, to prevent the onset of obesity-related illnesses.
Slowly, the messages appear to have sunk in with the public. By 2003, 60
percent of Americans said they wanted to lose weight, according to Gallup, up
from 52 percent in 1990 and 35 percent in the 1950s.
The Obama administration has increased pressure. The Affordable Care
Act, passed in 2010, required chain restaurants to publish the calorie content
of their meals. The federal government has also changed requirements,
making school lunches healthier, although the effort has created some
backlash.
Several cities have gone further. Philadelphia subsidizes produce
purchases for the poor. New York limits the kind of food available in day care
centers. Berkeley, Calif., last year became the first city in the United States to
tax sugar-sweetened beverages. The evidence for the effectiveness of these
interventions is mixed, but their popularity reflects public health officials..Èemphasis on diet and obesity.
Still, the timeline of the calorie declines suggests that people started
eating a little less before policy makers got involved. That follows the pattern
for tobacco use, which peaked right around the time of the 1964 surgeon
general..È report. The policy changes that many credit with the country..È sharp
reductions in smoking ... advertising bans, warning labels, taxes and
restrictions on smoking in public ... came later, accelerating change after
attitudes had already begun to shift.
The anti-obesity public health campaigns have focused on one subject
more than any other: beverages.
Anti-soda messages hit their target. Americans, on average, purchased
about 40 gallons of full-calorie soda a year in 1998, according to sales data
from the industry trade publication Beverage Digest analyzed by the Center for
Science in the Public Interest. That fell to 30 gallons in 2014, about the level
that Americans bought in 1980, before the obesity rates took off.
...I think the attitude more and more in this country is that it..È not a good
idea to consume a lot of soda,.. said Dr. Satcher, now a professor at the
Morehouse School of Medicine in Atlanta.
Beverage companies have reacted by marketing diet drinks and investing
heavily in new products, including iced teas and flavored water. ...A lot of the
changes we are seeing are consumer-driven,.. said John Sicher, Beverage
Digest..È publisher.
Outside of beverages, there are few clear trends. Experts who have
examined the data say the reductions do not mean that Americans are flocking
to farmer..È markets and abandoning fast food. Consumption of fruits and
vegetables remains low; consumption of desserts remains high. Instead,
people appear to be eating a little less of everything. Although consumption in
nearly every category has been ...cut some,.. said Mr. Popkin, ...the food part of
our diet is horrendous and remains horrendous...
The calorie reductions are seen across nearly every demographic group,
but not equally. White families have reduced their calorie consumption more
than black and Hispanic families. Most starkly, families with children have cut
back more than households with adults living alone, further evidence, experts
say, that the public health emphasis on childhood obesity is driving the
changes.
Ms. Lopes-Filho said she..È seen how her concern about her son..È diet has
subtly changed her own eating habits. ...I think I..È still sneaking stuff behind
his back, but I have tried to change,.. she said. ...I haven..È been drinking soda or
doing a lot of sugary drinks in a while, but all because of him ... because I know
that if I have it, he..È going to want it. And there..È really no fair way to say, ...No,
this is Mommy..È drink...È..
Perhaps the biggest caveat to the trend is that it does not appear to extend
to the very heaviest Americans. Among the most overweight people, weight
and waist circumference have all continued rising in recent years.
The recent calorie reductions appear to be good news, but they, alone, will
not be enough to reverse the obesity epidemic. A paper by Kevin Hall, a
researcher at the National Institutes of Health, estimated that for Americans
to return to the body weights of 1978 by 2020, an average adult would need to
reduce calorie consumption by 220 calories a day. The recent reductions
represent just a fraction of that change.
...This was like a freight train going downhill without brakes,.. Kelly
Brownell, dean of the Sanford School of Public Policy at Duke University, said.
...Anything slowing it down is good...
More information about the data sources we examined, and their
various strengths and weaknesses, can be found here.
Emily Hopkins contributed reporting, and Kitty Bennett contributed research.
The Upshot provides news, analysis and graphics about politics, policy and
everyday life. Follow us on Facebook and Twitter. Sign up for our weekly
newsletter.",,,,,,,,19.91,6.12,3.16,2.96,14.17,12.11,4.38,3.28,6.37,1.16,5.6,7.21,0.13,0.06,0,0,1.93,0,0

36,0,"When Olympian Clara Hughes agreed to speak publicly for the first time in 2010 about her experience with depression, she wasn..È sure anyone would care. But one of the people closest to Hughes didn..È know about her struggle more than 10 years after she sought help.
...My mother found out on TV,.. said Hughes, 42.
Hughes, one of few athletes who have competed in both the summer and Winter Olympics, became a spokesperson for Bell in 2010, when the company announced it was committing $50 million to mental health initiatives.
...I had such a hard time with it that I didn..È talk to her for three months after the campaign because I felt so bad that I hadn..È told her,.. said Hughes, who..Èl be in Toronto on Tuesday for a screening of a documentary about her epic 2010 cycling journey to raise the problem..È profile.
A history of mental illness in her family is what kept Hughes from sharing her diagnosis with her mother. Hughes..Èsister suffered from bipolar disorder and depression while her father struggled with addiction. With her mother was trying to manage it all, Hughes said she didn..È want to be a burden.
While training as a cyclist in the mid-1990s, Hughes started to sink into depression, although she didn..È call it that at the time.
...No matter what I won, I still had this void and darkness and often times feelings of self-loathing and worthlessness inside,.. she said.
Even after bringing home two bronze medals from the Atlanta summer games in 1996, the feelings persisted and Hughes spiralled into depression for the next two years. At a training camp the winter after returning from Atlanta, a national team doctor talked to Hughes about depression and suggested ways to get help.
...I walked out the meeting thinking, you..Èe not going to tell me what..È wrong with me, there..È nothing wrong with me. I..È a great athlete, I..Èl get through this ... I..Èl just train harder,.. she said.
But the reality was she couldn..È focus ... barely able to race her bike and crashing it when she did.
...I was in such a fog,.. said Hughes.
When she finally sought support, it was there for her but she realizes not everyone is so lucky. That..È why she decided to speak up about her own struggle after hearing that Bell, a sponsor for many years, was launching a charitable campaign focusing on mental illness in 2010.
She hopes having more public figures come forward with their experiences with mental illness will help more ...real people.. share their stories.
Last year, Hughes completed a cycling journey spanning 110 days and covering more than 11,000 kilometres across Canada to bring more attention to the issue. The documentary on the ride, Clara..È Big Ride, will be aired on CTV on Bell Let..È Talk day, on Wednesday.
One day of the year, Bell adds five cents to existing funds dedicated to mental illness programs for every text message and mobile and long distance call made by Bell customers. A year after its launch, the company included social media as part of the campaign to let those who didn..È have Bell phones participate.
Since the first Let..È Talk day in 2011, $17.5 million has been added to the pot, totalling a $67.5 million commitment from Bell.
...Mental health as a sector has been, I believe, underfunded systematically forever,.. said chair of the initiative, Mary Deacon.
Bell has spent about $10 million a year of that money supporting over 250 organizations across the country ... from psychiatric units in hospitals to community-based programs, according to Deacon.
Dismantling stigma is high on her agenda.
...The more we talk as individuals and communities, the more this will become a priority issue for action,.. Deacon said.
But talking is not always as easy as it seems, even for Olympians. Hughes said when she finally faced her mother, she simply asked Hughes why she didn..È tell her before.
...One of the biggest regrets that I have is not talking to my mom about it and letting her support me,.. said Hughes.",,,,,,,,22.03,12.45,8.35,4.1,16.4,14.79,4.98,4.25,6.3,2.2,4.54,6.15,0,0,0,0,2.64,0,0

38,0,"...If the manufacturer really wanted to get it to the market in Canada they would do it,.. Cassels said. ...If they..Èe been able to overcome the hurdles of the FDA, Health Canada is going to be a cakewalk...
According to Sprout, HSDD affects up to one in 10 American women. It..È characterized as an unexplained persistent lack of sexual thoughts, fantasies, responsiveness and desire to engage in sex, which causes personal distress.
Addyi, which is taken daily, can cause severely low blood pressure and loss of consciousness ... risks that increase if consumed with alcohol or certain medicines. Common adverse reactions include dizziness, sleepiness, nausea, fatigue, insomnia and dry mouth.
FDA approval was, in part, based on three randomized trials involving about 2,400 premenopausal women with HSDD. On average, Addyi boosted the number of ...satisfying sexual events.. from 0.5 to one additional event per month, as compared with those who took the placebo.
The drug has overcome numerous hurdles, opposition and criticism. It was rejected by the FDA as a desire drug in 2010 and 2013. Then Sprout and other drug companies with sexual pharmaceuticals in the pipeline sponsored the campaign Even the Score. It resembled a grassroots, social media campaign accusing the FDA of sexism for not having approved this drug for women, while claiming men had similar drugs to help them treat male sexual dysfunction.
...Even the Score. . . It..È time to level the playing field when it comes to the treatment of women..È sexual dysfunction,.. reads the campaign..È website.
Thea Cacchioni, an assistant professor of women..È studies at the University of Victoria who testified before the FDA in 2010 and was critical of the drug, suspects public pressure influenced the agency..È most recent decision. In addition to Even the Score, there was compelling testimony at the most recent FDA hearing.
...There were many patients and doctors, who were sponsored by Sprout, and they gave very emotional pleas and spoke a lot about the demand for the drug,.. Cacchioni said in an interview. ...The FDA panel members barely had anything positive to say about the drug...
Cacchioni has been studying the race by pharmaceutical companies to launch a sexual drug for women for years and recently published the book Big Pharma, Women, and the Labour of Love.
She doesn..È believe that the benefits of Addyi, when weighed against its risks, have been proven, particularly when compared with the benefits of sex therapy, sex education and sex counselling. She..È also concerned that the drug was tested on a young and healthy population ... the average age of the participants in the trials was 36 ... saying ...we don..È know what a drug is really going to do until it goes out into a wider population...
Her comments are echoed, in part, by Cassels. ...When you take a drug and give it to healthy people, you have to be absolutely certain that drug is not going to have any adverse effect. And, in the clinical studies of this drug, we..Èe seen that there are people being harmed by it...
Cassels, who along with Ray Moynihan co-wrote Selling Sickness: How the World..È Biggest Pharmaceutical Companies Are Turning Us All Into Patients, believes the industry has created disorders, such as HSDD, in an effort to market drugs.
...The main hurdle (for approval) was to try and define the disease,.. Cassels said. ...And I think (Sprout) bamboozled the FDA into considering this a disease...
Cassels said it..È a misnomer to refer to Addyi as the female Viagra or pink Viagra because Viagra has nothing to do with desire. Rather, it..È aimed at increasing blood flow to the genitals for men.
At the extreme end, he believes there are women who aren..È interested in having sex. But Cassels suspects that..È not who the drug maker will target.
...This drug will be marketed to everyone who doesn..È want to have sex, for whatever reason ... the ...Not tonight, honey, I have a headache..Èmarket.
...The market has been shaped around turning lack of desire into a disease and I think it..È highly problematic,.. Cassels said.
...This idea that you can tamper with and increase sexual desire with a pill ... this is the brave new world...",,,,,,,,20.5,8.46,2.44,6.03,14.92,14.63,5.88,3.59,4.88,2.44,5.16,7.03,0.14,0,0,0,3.73,0,1

41,0,"WASHINGTON ... President Obama on Tuesday rejected an attempt by lawmakers to force his hand on the Keystone XL oil pipeline, using his veto pen to sweep aside one of the first major challenges to his authority by the new Republican Congress.

With no fanfare and a 104-word letter to the Senate, Mr. Obama vetoed legislation to authorize construction of a 1,179-mile pipeline that would carry 800,000 barrels of heavy petroleum a day from the oil sands of Alberta to ports and refineries on the Gulf Coast.

In exercising the unique power of the Oval Office for only the third time since his election in 2008, Mr. Obama accused lawmakers of seeking to circumvent the administration..È approval process for the pipeline by cutting short ...consideration of issues that could bear on our national interest...

By rejecting the legislation, Mr. Obama retains the right to make a final judgment on the pipeline on his own timeline. But he did little to calm the political debate over Keystone, which has become a symbol of the continuing struggle between environmentalists and conservatives.
 
Backers of the pipeline denounced Mr. Obama..È actions and vowed to keep fighting for its construction.

The House speaker, John A. Boehner of Ohio, called the president..È veto ...a national embarrassment.. and accused Mr. Obama of being ...too close to environmental extremists.. and ...too invested in left-fringe politics...

Environmentalists quickly hailed the decision, which they said clearly indicated Mr. Obama..È intention to reject the pipeline..È construction. The White House has said the president will decide whether to allow the pipeline when all of the environmental reviews are completed in the coming weeks.

...Republicans in Congress continued to waste everyone..È time with a bill destined to go nowhere, just to satisfy the agenda of their big oil allies,.. said Michael Brune, the executive director of the Sierra Club. ...The president has all the evidence he needs to reject Keystone XL now, and we are confident that he will...

Since 2011, the proposed Keystone pipeline has emerged as a broader symbol of the partisan political clash over energy, climate change and the economy.

Most energy policy experts say the project will have a minimal impact on jobs and climate. But Republicans insist that the pipeline will increase employment by linking the United States to an energy supply from a friendly neighbor. Environmentalists say it will contribute to ecological destruction and damaging climate change.

Mr. Obama has hinted that he thinks both sides have inflated their arguments, but he has not said what he will decide.

In his State of the Union address last month, Mr. Obama urged lawmakers to move past the pipeline debate, calling for passage of a comprehensive infrastructure plan. ...Let..È set our sights higher than a single oil pipeline,.. he said.

Republican leaders had promised to use the veto, which was expected, to denounce Mr. Obama as a partisan obstructionist. They made good on that promise minutes after the president..È veto message was read on the floor of the Senate on Tuesday.

...The fact he vetoed the bipartisan Keystone Pipeline in private shows how out of step he is with the priorities of the American people, who overwhelmingly support this vital jobs and infrastructure project,.. Reince Priebus, the chairman of the Republican National Committee, said in a statement.

In recent months, the environmental activists ... who have spent years marching, protesting and getting arrested outside the White House in their quest to persuade Mr. Obama to reject the project ... have said they are increasingly optimistic that their efforts will succeed.

...Hopefully the ongoing legislative charade has strengthened his commitment to do the right thing,.. said Bill McKibben, a founder of the group 350.org, which has led the campaign to urge Mr. Obama to reject the pipeline.

The debate began in 2008, when the TransCanada Corporation applied for a permit to construct the pipeline. The State Department is required to determine whether the pipeline is in the national interest, but the last word on whether the project will go forward ultimately rests with the president.

Mr. Obama has delayed making that decision until all the legal and environmental reviews of the process are completed. He has said a critical factor in his decision will be whether the project contributes to climate change.

more carbon pollution than conventionally extracted oil.

But the review said the pipeline was unlikely to contribute to a significant increase in planet-warming greenhouse gases because the fuel would probably be extracted from the oil sands and sold with or without construction of the pipeline.

This month, environmentalists pointed to a letter from the Environmental Protection Agency that they said proved that the pipeline could add to greenhouse gases.

The question of whether to build the pipeline comes as Mr. Obama hopes to make climate change policy a cornerstone of his legacy. This summer, the E.P.A. is expected to issue sweeping regulations to cut greenhouse gas pollution from power plants, a move experts say would have vastly more impact on the nation..È carbon footprint than construction of the Keystone pipeline.

In December, world leaders hope to sign a global United Nations accord in Paris that would commit every nation in the world to enacting plans to reduce its rates of planet-warming greenhouse gas emissions. In the coming months, countries are expected to begin putting forward those policies for cutting carbon emissions.

While the Keystone pipeline is not expected to be part of the United States climate change plan, a public presidential decision on the project could be interpreted as a message about Mr. Obama..È symbolic commitment to the issue of climate change.

Until that decision is made, however, both sides of the Keystone fight are stepping up their tactics. Environmental groups are planning more marches and White House petitions, while Republicans in Congress are looking for ways to bring the Keystone measure back to Mr. Obama..È desk.

Senator John Hoeven, Republican of North Dakota, who sponsored the Keystone bill, said he would consider adding language requiring construction of the pipeline to other legislation, such as spending bills to fund federal agencies, which could make a veto far more politically risky for Mr. Obama.

A final decision by the president could come soon. Last month, a court in Nebraska reached a verdict in a case about the pipeline..È route through the state, clearing the way for construction. And this month, final reviews of the pipeline by eight federal agencies were completed.

However, Mr. Obama is under no legal obligation to make a final decision, and there is no official timetable for a decision. He could approve or deny the project at any time ... or leave the decision to the next president.",,,,,,,,24.87,5.9,3.04,2.86,15.19,11.17,4.02,1.88,3.75,1.61,5.81,4.65,0,0,0,0,1.61,0,0

